time;Belegung Intensivbetten in %;Timestamp
01.04.2020;21;2020-06-11T10:37:16
02.04.2020;23;2020-06-11T10:37:16
03.04.2020;26;2020-06-11T10:37:16
04.04.2020;25;2020-06-11T10:37:16
05.04.2020;24;2020-06-11T10:37:16
06.04.2020;24;2020-06-11T10:37:16
07.04.2020;21;2020-06-11T10:37:16
08.04.2020;21;2020-06-11T10:37:16
09.04.2020;21;2020-06-11T10:37:16
10.04.2020;21;2020-06-11T10:37:16
11.04.2020;22;2020-06-11T10:37:16
12.04.2020;22;2020-06-11T10:37:16
13.04.2020;19;2020-06-11T10:37:16
14.04.2020;20;2020-06-11T10:37:16
15.04.2020;20;2020-06-11T10:37:16
16.04.2020;21;2020-06-11T10:37:16
17.04.2020;19;2020-06-11T10:37:16
18.04.2020;18;2020-06-11T10:37:16
19.04.2020;16;2020-06-11T10:37:16
20.04.2020;17;2020-06-11T10:37:16
21.04.2020;17;2020-06-11T10:37:16
22.04.2020;14;2020-06-11T10:37:16
23.04.2020;15;2020-06-11T10:37:16
24.04.2020;13;2020-06-11T10:37:16
25.04.2020;12;2020-06-11T10:37:16
26.04.2020;12;2020-06-11T10:37:16
27.04.2020;12;2020-06-11T10:37:16
28.04.2020;11;2020-06-11T10:37:16
29.04.2020;11;2020-06-11T10:37:16
30.04.2020;11;2020-06-11T10:37:16
01.05.2020;11;2020-06-11T10:37:16
02.05.2020;10;2020-06-11T10:37:16
03.05.2020;10;2020-06-11T10:37:16
04.05.2020;10;2020-06-11T10:37:16
05.05.2020;9;2020-06-11T10:37:16
06.05.2020;9;2020-06-11T10:37:16
07.05.2020;8;2020-06-11T10:37:16
08.05.2020;8;2020-06-11T10:37:16
09.05.2020;7;2020-06-11T10:37:16
10.05.2020;7;2020-06-11T10:37:16
11.05.2020;6;2020-06-11T10:37:16
12.05.2020;5;2020-06-11T10:37:16
13.05.2020;5;2020-06-11T10:37:16
14.05.2020;5;2020-06-11T10:37:16
15.05.2020;5;2020-06-11T10:37:16
16.05.2020;6;2020-06-11T10:37:16
17.05.2020;5;2020-06-11T10:37:16
18.05.2020;5;2020-06-11T10:37:16
19.05.2020;4;2020-06-11T10:37:16
20.05.2020;4;2020-06-11T10:37:16
21.05.2020;4;2020-06-11T10:37:16
22.05.2020;3;2020-06-11T10:37:16
23.05.2020;3;2020-06-11T10:37:16
24.05.2020;3;2020-06-11T10:37:16
25.05.2020;3;2020-06-11T10:37:16
26.05.2020;3;2020-06-11T10:37:16
27.05.2020;4;2020-06-11T10:37:16
28.05.2020;3;2020-06-11T10:37:16
29.05.2020;3;2020-06-11T10:37:16
30.05.2020;3;2020-06-11T10:37:16
31.05.2020;3;2020-06-11T10:37:16
01.06.2020;3;2020-06-11T10:37:16
02.06.2020;3;2020-06-11T10:37:16
03.06.2020;2;2020-06-11T10:37:16
04.06.2020;3;2020-06-11T10:37:16
05.06.2020;2;2020-06-11T10:37:16
06.06.2020;2;2020-06-11T10:37:16
07.06.2020;2;2020-06-11T10:37:16
08.06.2020;2;2020-06-11T10:37:16
09.06.2020;2;2020-06-11T10:37:16
10.06.2020;2;2020-06-11T10:37:16
11.06.2020;2;2020-06-11T10:37:16
