time;Belegung Normalbetten in %;Timestamp
01.04.2020;5;2020-07-23T10:16:28
02.04.2020;5;2020-07-23T10:16:28
03.04.2020;5;2020-07-23T10:16:28
04.04.2020;5;2020-07-23T10:16:28
05.04.2020;4;2020-07-23T10:16:28
06.04.2020;5;2020-07-23T10:16:28
07.04.2020;4;2020-07-23T10:16:28
08.04.2020;4;2020-07-23T10:16:28
09.04.2020;4;2020-07-23T10:16:28
10.04.2020;4;2020-07-23T10:16:28
11.04.2020;4;2020-07-23T10:16:28
12.04.2020;4;2020-07-23T10:16:28
13.04.2020;4;2020-07-23T10:16:28
14.04.2020;4;2020-07-23T10:16:28
15.04.2020;4;2020-07-23T10:16:28
16.04.2020;4;2020-07-23T10:16:28
17.04.2020;4;2020-07-23T10:16:28
18.04.2020;3;2020-07-23T10:16:28
19.04.2020;3;2020-07-23T10:16:28
20.04.2020;3;2020-07-23T10:16:28
21.04.2020;3;2020-07-23T10:16:28
22.04.2020;3;2020-07-23T10:16:28
23.04.2020;3;2020-07-23T10:16:28
24.04.2020;3;2020-07-23T10:16:28
25.04.2020;3;2020-07-23T10:16:28
26.04.2020;3;2020-07-23T10:16:28
27.04.2020;3;2020-07-23T10:16:28
28.04.2020;3;2020-07-23T10:16:28
29.04.2020;2;2020-07-23T10:16:28
30.04.2020;2;2020-07-23T10:16:28
01.05.2020;2;2020-07-23T10:16:28
02.05.2020;2;2020-07-23T10:16:28
03.05.2020;2;2020-07-23T10:16:28
04.05.2020;2;2020-07-23T10:16:28
05.05.2020;2;2020-07-23T10:16:28
06.05.2020;2;2020-07-23T10:16:28
07.05.2020;2;2020-07-23T10:16:28
08.05.2020;2;2020-07-23T10:16:28
09.05.2020;2;2020-07-23T10:16:28
10.05.2020;1;2020-07-23T10:16:28
11.05.2020;1;2020-07-23T10:16:28
12.05.2020;1;2020-07-23T10:16:28
13.05.2020;1;2020-07-23T10:16:28
14.05.2020;1;2020-07-23T10:16:28
15.05.2020;1;2020-07-23T10:16:28
16.05.2020;1;2020-07-23T10:16:28
17.05.2020;1;2020-07-23T10:16:28
18.05.2020;1;2020-07-23T10:16:28
19.05.2020;1;2020-07-23T10:16:28
20.05.2020;1;2020-07-23T10:16:28
21.05.2020;1;2020-07-23T10:16:28
22.05.2020;1;2020-07-23T10:16:28
23.05.2020;1;2020-07-23T10:16:28
24.05.2020;1;2020-07-23T10:16:28
25.05.2020;1;2020-07-23T10:16:28
26.05.2020;1;2020-07-23T10:16:28
27.05.2020;1;2020-07-23T10:16:28
28.05.2020;1;2020-07-23T10:16:28
29.05.2020;1;2020-07-23T10:16:28
30.05.2020;1;2020-07-23T10:16:28
31.05.2020;1;2020-07-23T10:16:28
01.06.2020;1;2020-07-23T10:16:28
02.06.2020;0;2020-07-23T10:16:28
03.06.2020;1;2020-07-23T10:16:28
04.06.2020;1;2020-07-23T10:16:28
05.06.2020;1;2020-07-23T10:16:28
06.06.2020;1;2020-07-23T10:16:28
07.06.2020;1;2020-07-23T10:16:28
08.06.2020;1;2020-07-23T10:16:28
09.06.2020;1;2020-07-23T10:16:28
10.06.2020;1;2020-07-23T10:16:28
11.06.2020;1;2020-07-23T10:16:28
12.06.2020;1;2020-07-23T10:16:28
13.06.2020;1;2020-07-23T10:16:28
14.06.2020;1;2020-07-23T10:16:28
15.06.2020;1;2020-07-23T10:16:28
16.06.2020;1;2020-07-23T10:16:28
17.06.2020;1;2020-07-23T10:16:28
18.06.2020;1;2020-07-23T10:16:28
19.06.2020;1;2020-07-23T10:16:28
20.06.2020;1;2020-07-23T10:16:28
21.06.2020;1;2020-07-23T10:16:28
22.06.2020;1;2020-07-23T10:16:28
23.06.2020;1;2020-07-23T10:16:28
24.06.2020;1;2020-07-23T10:16:28
25.06.2020;1;2020-07-23T10:16:28
26.06.2020;1;2020-07-23T10:16:28
27.06.2020;1;2020-07-23T10:16:28
28.06.2020;1;2020-07-23T10:16:28
29.06.2020;1;2020-07-23T10:16:28
30.06.2020;1;2020-07-23T10:16:28
01.07.2020;1;2020-07-23T10:16:28
02.07.2020;1;2020-07-23T10:16:28
03.07.2020;1;2020-07-23T10:16:28
04.07.2020;1;2020-07-23T10:16:28
05.07.2020;1;2020-07-23T10:16:28
06.07.2020;1;2020-07-23T10:16:28
07.07.2020;1;2020-07-23T10:16:28
08.07.2020;1;2020-07-23T10:16:28
09.07.2020;1;2020-07-23T10:16:28
10.07.2020;1;2020-07-23T10:16:28
11.07.2020;1;2020-07-23T10:16:28
12.07.2020;1;2020-07-23T10:16:28
13.07.2020;1;2020-07-23T10:16:28
14.07.2020;1;2020-07-23T10:16:28
15.07.2020;1;2020-07-23T10:16:28
16.07.2020;1;2020-07-23T10:16:28
17.07.2020;1;2020-07-23T10:16:28
18.07.2020;1;2020-07-23T10:16:28
19.07.2020;1;2020-07-23T10:16:28
20.07.2020;1;2020-07-23T10:16:28
21.07.2020;1;2020-07-23T10:16:28
22.07.2020;1;2020-07-23T10:16:28
23.07.2020;1;2020-07-23T10:16:28
