Bezirk;Anzahl;Anzahl_Inzidenz;GKZ;Timestamp
Amstetten;6778;5837,36672580395;305;2021-01-17T10:02:00
Baden;4996;3417,16654241021;306;2021-01-17T10:02:00
Bludenz;3003;4713,24983520105;801;2021-01-17T10:02:00
Braunau am Inn;4721;4521,68416213317;404;2021-01-17T10:02:00
Bregenz;6552;4875,61670747044;802;2021-01-17T10:02:00
Bruck an der Leitha;3064;3003,62709538281;307;2021-01-17T10:02:00
Bruck-Mürzzuschlag;3870;3909,72278348016;621;2021-01-17T10:02:00
Deutschlandsberg;2096;3446,17812926456;603;2021-01-17T10:02:00
Dornbirn;5347;6005,09877472176;803;2021-01-17T10:02:00
Eferding;2081;6276,39039691157;405;2021-01-17T10:02:00
Eisenstadt(Stadt);535;3655,12058481929;101;2021-01-17T10:02:00
Eisenstadt-Umgebung;1348;3140,21478323666;103;2021-01-17T10:02:00
Feldkirch;5687;5307,06706856167;804;2021-01-17T10:02:00
Feldkirchen;1425;4759,99599158232;210;2021-01-17T10:02:00
Freistadt;3714;5574,81875084433;406;2021-01-17T10:02:00
Gänserndorf;2662;2567,36685762784;308;2021-01-17T10:02:00
Gmünd;1603;4359,17656976586;309;2021-01-17T10:02:00
Gmunden;5084;5002,41068178017;407;2021-01-17T10:02:00
Graz(Stadt);9906;3429,98414160371;601;2021-01-17T10:02:00
Graz-Umgebung;5064;3282,7693504473;606;2021-01-17T10:02:00
Grieskirchen;3945;6095,39407611131;408;2021-01-17T10:02:00
Güssing;1071;4151,64554017909;104;2021-01-17T10:02:00
Hallein;4410;7304,46881107762;502;2021-01-17T10:02:00
Hartberg-Fürstenfeld;3927;4333,3848292909;622;2021-01-17T10:02:00
Hermagor;1008;5531,16769095698;203;2021-01-17T10:02:00
Hollabrunn;1221;2400,80223367022;310;2021-01-17T10:02:00
Horn;637;2048,89031843036;311;2021-01-17T10:02:00
Imst;3140;5228,45344345278;702;2021-01-17T10:02:00
Innsbruck-Land;9509;5302,86976209862;703;2021-01-17T10:02:00
Innsbruck-Stadt;6657;5038,98266596018;701;2021-01-17T10:02:00
Jennersdorf;655;3838,04054845892;105;2021-01-17T10:02:00
Kirchdorf an der Krems;2598;4568,63503675307;409;2021-01-17T10:02:00
Kitzbühel;2971;4650,83514660071;704;2021-01-17T10:02:00
Klagenfurt Land;2433;4068,5618729097;204;2021-01-17T10:02:00
Klagenfurt Stadt;4194;4160,01269627146;201;2021-01-17T10:02:00
Korneuburg;2470;2717,60058973033;312;2021-01-17T10:02:00
Krems an der Donau(Stadt);919;3694,32384627754;301;2021-01-17T10:02:00
Krems(Land);2049;3620,39720121563;313;2021-01-17T10:02:00
Kufstein;6616;6031,98337010631;705;2021-01-17T10:02:00
Landeck;2808;6329,74167079933;706;2021-01-17T10:02:00
Leibnitz;3300;4000,7759080549;610;2021-01-17T10:02:00
Leoben;2171;3614,71861471861;611;2021-01-17T10:02:00
Lienz;2806;5755,5432486206;707;2021-01-17T10:02:00
Liezen (inkl. Gröbming);3409;4266,52983066545;612;2021-01-17T10:02:00
Lilienfeld;1011;3916,78289167829;314;2021-01-17T10:02:00
Linz(Stadt);8943;4347,0441266539;401;2021-01-17T10:02:00
Linz-Land;6710;4465,2066572172;410;2021-01-17T10:02:00
Mattersburg;1241;3108,32811521603;106;2021-01-17T10:02:00
Melk;3313;4249,5061696724;315;2021-01-17T10:02:00
Mistelbach;1731;2293,23158856961;316;2021-01-17T10:02:00
Mödling;3668;3082,40474629826;317;2021-01-17T10:02:00
Murau;1075;3886,6191836292;614;2021-01-17T10:02:00
Murtal;3033;4212,26598522304;620;2021-01-17T10:02:00
Neunkirchen;3118;3613,35481104634;318;2021-01-17T10:02:00
Neusiedl am See;1836;3083,01988178399;107;2021-01-17T10:02:00
Oberpullendorf;1427;3804,01460826913;108;2021-01-17T10:02:00
Oberwart;1940;3587,54345735631;109;2021-01-17T10:02:00
Perg;3773;5511,32794811493;411;2021-01-17T10:02:00
Reutte;1099;3363,94245485155;708;2021-01-17T10:02:00
Ried im Innkreis;3832;6261,02869093523;412;2021-01-17T10:02:00
Rohrbach;3966;7016,48857122638;413;2021-01-17T10:02:00
Rust(Stadt);62;3195,87628865979;102;2021-01-17T10:02:00
Salzburg(Stadt);7269;4713,67152797142;501;2021-01-17T10:02:00
Salzburg-Umgebung;7903;5189,74790026333;503;2021-01-17T10:02:00
Sankt Johann im Pongau;5850;7260,4966924404;504;2021-01-17T10:02:00
Sankt Pölten(Land);4502;3435,48731723696;319;2021-01-17T10:02:00
Sankt Pölten(Stadt);2360;4287,47910762299;302;2021-01-17T10:02:00
Sankt Veit an der Glan;2571;4712,67528182568;205;2021-01-17T10:02:00
Schärding;3812;6651,89243896906;414;2021-01-17T10:02:00
Scheibbs;2245;5422,31239282178;320;2021-01-17T10:02:00
Schwaz;7007;8354,29756894352;709;2021-01-17T10:02:00
Spittal an der Drau;2374;3119,94848273777;206;2021-01-17T10:02:00
Steyr(Stadt);1623;4249,46979813055;402;2021-01-17T10:02:00
Steyr-Land;3132;5183,11350886193;415;2021-01-17T10:02:00
Südoststeiermark;3280;3816,30539751242;623;2021-01-17T10:02:00
Tamsweg;1659;8164,37007874016;505;2021-01-17T10:02:00
Tulln;3281;3161,76966589895;321;2021-01-17T10:02:00
Urfahr-Umgebung;4775;5584,46874451786;416;2021-01-17T10:02:00
Villach Land;2391;3697,34644646502;207;2021-01-17T10:02:00
Villach Stadt;2120;3406,00549459377;202;2021-01-17T10:02:00
Vöcklabruck;7102;5212,36229660998;417;2021-01-17T10:02:00
Voitsberg;2038;3983,5030589707;616;2021-01-17T10:02:00
Völkermarkt;2391;5709,44171163857;208;2021-01-17T10:02:00
Waidhofen an der Thaya;894;3453,33745364648;322;2021-01-17T10:02:00
Waidhofen an der Ybbs(Stadt);586;5203,80072817689;303;2021-01-17T10:02:00
Weiz;2882;3190,06453183977;617;2021-01-17T10:02:00
Wels(Stadt);3194;5174,39694137087;403;2021-01-17T10:02:00
Wels-Land;3274;4479,16381645552;418;2021-01-17T10:02:00
Wien(Stadt);77998;4110,5860317651;900;2021-01-17T10:02:00
Wiener Neustadt(Land);2388;3061,89175674116;323;2021-01-17T10:02:00
Wiener Neustadt(Stadt);1834;4050,62172847141;304;2021-01-17T10:02:00
Wolfsberg;2361;4477,86670712741;209;2021-01-17T10:02:00
Zell am See;4839;5532,68848185498;506;2021-01-17T10:02:00
Zwettl;1972;4670,5508976363;325;2021-01-17T10:02:00
