Datum;DeltaAnzahlVortag;DeltaGeheiltVortag;DeltaTotVortag;DeltaAktivVortag;DeltaTestGesamtVortag
26.02.2020 00:00:00;1;0;0;1;0
27.02.2020 00:00:00;2;0;0;2;0
28.02.2020 00:00:00;4;0;0;4;0
29.02.2020 00:00:00;1;0;0;1;0
01.03.2020 00:00:00;4;0;0;4;0
02.03.2020 00:00:00;5;0;0;5;0
03.03.2020 00:00:00;6;0;0;6;0
04.03.2020 00:00:00;14;0;0;14;0
05.03.2020 00:00:00;9;2;0;7;0
06.03.2020 00:00:00;29;0;0;29;0
07.03.2020 00:00:00;23;0;0;23;0
08.03.2020 00:00:00;28;0;0;28;0
09.03.2020 00:00:00;22;0;0;22;0
10.03.2020 00:00:00;55;2;0;53;0
11.03.2020 00:00:00;108;2;0;106;0
12.03.2020 00:00:00;99;3;1;95;0
13.03.2020 00:00:00;181;0;0;181;0
14.03.2020 00:00:00;211;2;1;208;0
15.03.2020 00:00:00;198;4;1;193;0
16.03.2020 00:00:00;224;12;2;210;0
17.03.2020 00:00:00;343;2;2;339;0
18.03.2020 00:00:00;375;2;5;368;0
19.03.2020 00:00:00;455;4;3;448;0
20.03.2020 00:00:00;511;13;5;493;0
21.03.2020 00:00:00;543;12;6;525;0
22.03.2020 00:00:00;617;20;8;589;0
23.03.2020 00:00:00;690;57;12;621;0
24.03.2020 00:00:00;725;89;10;626;0
25.03.2020 00:00:00;754;94;9;651;0
26.03.2020 00:00:00;1050;159;16;875;0
27.03.2020 00:00:00;780;219;20;541;0
28.03.2020 00:00:00;594;189;19;386;0
29.03.2020 00:00:00;536;254;14;268;0
30.03.2020 00:00:00;714;369;21;324;0
31.03.2020 00:00:00;565;367;18;180;0
01.04.2020 00:00:00;546;337;11;198;16834
02.04.2020 00:00:00;437;382;20;35;75356
03.04.2020 00:00:00;398;469;18;-89;6153
04.04.2020 00:00:00;258;540;21;-303;5791
05.04.2020 00:00:00;197;343;22;-168;4282
06.04.2020 00:00:00;305;739;31;-465;2880
07.04.2020 00:00:00;293;532;29;-268;3939
08.04.2020 00:00:00;290;621;17;-348;5520
09.04.2020 00:00:00;277;605;22;-350;5532
10.04.2020 00:00:00;357;637;23;-303;8456
11.04.2020 00:00:00;201;404;17;-220;6232
12.04.2020 00:00:00;114;316;12;-214;3902
13.04.2020 00:00:00;86;312;21;-247;3535
14.04.2020 00:00:00;150;562;13;-425;3384
15.04.2020 00:00:00;129;491;15;-377;5005
16.04.2020 00:00:00;112;453;22;-363;6015
