time;Kapazität Intensivbetten in %;Timestamp
01.04.2020;79;2020-06-01T10:34:09
02.04.2020;77;2020-06-01T10:34:09
03.04.2020;74;2020-06-01T10:34:09
04.04.2020;75;2020-06-01T10:34:09
05.04.2020;76;2020-06-01T10:34:09
06.04.2020;76;2020-06-01T10:34:09
07.04.2020;79;2020-06-01T10:34:09
08.04.2020;79;2020-06-01T10:34:09
09.04.2020;79;2020-06-01T10:34:09
10.04.2020;79;2020-06-01T10:34:09
11.04.2020;78;2020-06-01T10:34:09
12.04.2020;78;2020-06-01T10:34:09
13.04.2020;81;2020-06-01T10:34:09
14.04.2020;80;2020-06-01T10:34:09
15.04.2020;80;2020-06-01T10:34:09
16.04.2020;79;2020-06-01T10:34:09
17.04.2020;81;2020-06-01T10:34:09
18.04.2020;82;2020-06-01T10:34:09
19.04.2020;84;2020-06-01T10:34:09
20.04.2020;83;2020-06-01T10:34:09
21.04.2020;83;2020-06-01T10:34:09
22.04.2020;86;2020-06-01T10:34:09
23.04.2020;85;2020-06-01T10:34:09
24.04.2020;87;2020-06-01T10:34:09
25.04.2020;88;2020-06-01T10:34:09
26.04.2020;88;2020-06-01T10:34:09
27.04.2020;88;2020-06-01T10:34:09
28.04.2020;89;2020-06-01T10:34:09
29.04.2020;89;2020-06-01T10:34:09
30.04.2020;89;2020-06-01T10:34:09
01.05.2020;89;2020-06-01T10:34:09
02.05.2020;90;2020-06-01T10:34:09
03.05.2020;90;2020-06-01T10:34:09
04.05.2020;90;2020-06-01T10:34:09
05.05.2020;91;2020-06-01T10:34:09
06.05.2020;91;2020-06-01T10:34:09
07.05.2020;92;2020-06-01T10:34:09
08.05.2020;92;2020-06-01T10:34:09
09.05.2020;93;2020-06-01T10:34:09
10.05.2020;93;2020-06-01T10:34:09
11.05.2020;94;2020-06-01T10:34:09
12.05.2020;95;2020-06-01T10:34:09
13.05.2020;95;2020-06-01T10:34:09
14.05.2020;95;2020-06-01T10:34:09
15.05.2020;95;2020-06-01T10:34:09
16.05.2020;94;2020-06-01T10:34:09
17.05.2020;95;2020-06-01T10:34:09
18.05.2020;95;2020-06-01T10:34:09
19.05.2020;96;2020-06-01T10:34:09
20.05.2020;96;2020-06-01T10:34:09
21.05.2020;96;2020-06-01T10:34:09
22.05.2020;97;2020-06-01T10:34:09
23.05.2020;97;2020-06-01T10:34:09
24.05.2020;97;2020-06-01T10:34:09
25.05.2020;97;2020-06-01T10:34:09
26.05.2020;97;2020-06-01T10:34:09
27.05.2020;96;2020-06-01T10:34:09
28.05.2020;97;2020-06-01T10:34:09
29.05.2020;97;2020-06-01T10:34:09
30.05.2020;97;2020-06-01T10:34:09
31.05.2020;97;2020-06-01T10:34:09
01.06.2020;97;2020-06-01T10:34:09
