Bezirk;Anzahl;Anzahl_Inzidenz;GKZ;Timestamp
Amstetten;5207;4484,38603441446;305;2020-12-16T17:02:00
Baden;3863;2642,21664398131;306;2020-12-16T17:02:00
Bludenz;2638;4140,37731110902;801;2020-12-16T17:02:00
Braunau am Inn;3974;3806,22174546012;404;2020-12-16T17:02:00
Bregenz;5700;4241,60794148069;802;2020-12-16T17:02:00
Bruck an der Leitha;2571;2520,34114302519;307;2020-12-16T17:02:00
Bruck-Mürzzuschlag;3324;3358,11848379536;621;2020-12-16T17:02:00
Deutschlandsberg;1507;2477,76261488631;603;2020-12-16T17:02:00
Dornbirn;4587;5151,55939398704;803;2020-12-16T17:02:00
Eferding;1945;5866,20822777175;405;2020-12-16T17:02:00
Eisenstadt(Stadt);423;2889,93646238983;101;2020-12-16T17:02:00
Eisenstadt-Umgebung;1150;2678,96661774641;103;2020-12-16T17:02:00
Feldkirch;4802;4481,19150048059;804;2020-12-16T17:02:00
Feldkirchen;1053;3517,38651167452;210;2020-12-16T17:02:00
Freistadt;3341;5014,93523063298;406;2020-12-16T17:02:00
Gänserndorf;1963;1893,21605616959;308;2020-12-16T17:02:00
Gmünd;1355;3684,76871617763;309;2020-12-16T17:02:00
Gmunden;4005;3940,72674676034;407;2020-12-16T17:02:00
Graz(Stadt);8527;2952,5009868216;601;2020-12-16T17:02:00
Graz-Umgebung;4241;2749,25450538053;606;2020-12-16T17:02:00
Grieskirchen;3529;5452,63515705876;408;2020-12-16T17:02:00
Güssing;822;3186,41702523549;104;2020-12-16T17:02:00
Hallein;3305;5474,21075297313;502;2020-12-16T17:02:00
Hartberg-Fürstenfeld;3316;3659,1556134272;622;2020-12-16T17:02:00
Hermagor;697;3824,62686567164;203;2020-12-16T17:02:00
Hollabrunn;1093;2149,12108222895;310;2020-12-16T17:02:00
Horn;558;1794,78932132519;311;2020-12-16T17:02:00
Imst;2698;4492,47369122153;702;2020-12-16T17:02:00
Innsbruck-Land;8513;4747,43193655963;703;2020-12-16T17:02:00
Innsbruck-Stadt;6201;4693,81575959428;701;2020-12-16T17:02:00
Jennersdorf;566;3316,53580217977;105;2020-12-16T17:02:00
Kirchdorf an der Krems;2076;3650,68758133155;409;2020-12-16T17:02:00
Kitzbühel;2406;3766,37810929697;704;2020-12-16T17:02:00
Klagenfurt Land;1923;3215,71906354515;204;2020-12-16T17:02:00
Klagenfurt Stadt;3561;3532,14239661962;201;2020-12-16T17:02:00
Korneuburg;2188;2407,3320203765;312;2020-12-16T17:02:00
Krems an der Donau(Stadt);841;3380,76861231709;301;2020-12-16T17:02:00
Krems(Land);1791;3164,53459608453;313;2020-12-16T17:02:00
Kufstein;5965;5438,44933535129;705;2020-12-16T17:02:00
Landeck;2343;5281,5472701862;706;2020-12-16T17:02:00
Leibnitz;2739;3320,64400368556;610;2020-12-16T17:02:00
Leoben;1887;3141,85814185814;611;2020-12-16T17:02:00
Lienz;2386;4894,05780157119;707;2020-12-16T17:02:00
Liezen (inkl. Gröbming);2544;3183,94012590581;612;2020-12-16T17:02:00
Lilienfeld;896;3471,2536804587;314;2020-12-16T17:02:00
Linz(Stadt);7979;3878,45969882271;401;2020-12-16T17:02:00
Linz-Land;5986;3983,4168480033;410;2020-12-16T17:02:00
Mattersburg;1074;2690,04383218535;106;2020-12-16T17:02:00
Melk;2764;3545,31694928298;315;2020-12-16T17:02:00
Mistelbach;1420;1881,21828756144;316;2020-12-16T17:02:00
Mödling;3072;2581,55599253769;317;2020-12-16T17:02:00
Murau;898;3246,68281572002;614;2020-12-16T17:02:00
Murtal;2385;3312,31598244542;620;2020-12-16T17:02:00
Neunkirchen;2422;2806,7817037698;318;2020-12-16T17:02:00
Neusiedl am See;1429;2399,5835572273;107;2020-12-16T17:02:00
Oberpullendorf;1250;3332,17817823155;108;2020-12-16T17:02:00
Oberwart;1725;3189,9548783194;109;2020-12-16T17:02:00
Perg;3274;4782,42451686411;411;2020-12-16T17:02:00
Reutte;836;2558,92255892256;708;2020-12-16T17:02:00
Ried im Innkreis;3431;5605,84275537547;412;2020-12-16T17:02:00
Rohrbach;3649;6455,66485032906;413;2020-12-16T17:02:00
Rust(Stadt);50;2577,31958762887;102;2020-12-16T17:02:00
Salzburg(Stadt);5716;3706,60977491878;501;2020-12-16T17:02:00
Salzburg-Umgebung;6331;4157,44577458777;503;2020-12-16T17:02:00
Sankt Johann im Pongau;4856;6026,83280999839;504;2020-12-16T17:02:00
Sankt Pölten(Land);3836;2927,26107261683;319;2020-12-16T17:02:00
Sankt Pölten(Stadt);2109;3831,48027032919;302;2020-12-16T17:02:00
Sankt Veit an der Glan;2142;3926,31289524333;205;2020-12-16T17:02:00
Schärding;3240;5653,75957561903;414;2020-12-16T17:02:00
Scheibbs;1876;4531,07262758737;320;2020-12-16T17:02:00
Schwaz;6429;7665,16042111287;709;2020-12-16T17:02:00
Spittal an der Drau;1653;2172,39883823317;206;2020-12-16T17:02:00
Steyr(Stadt);1436;3759,85128164847;402;2020-12-16T17:02:00
Steyr-Land;2791;4618,79623347179;415;2020-12-16T17:02:00
Südoststeiermark;2885;3356,71983897053;623;2020-12-16T17:02:00
Tamsweg;1262;6210,62992125984;505;2020-12-16T17:02:00
Tulln;2628;2532,49944589529;321;2020-12-16T17:02:00
Urfahr-Umgebung;4451;5205,54353546576;416;2020-12-16T17:02:00
Villach Land;2014;3114,36877590153;207;2020-12-16T17:02:00
Villach Stadt;1726;2773,00258663625;202;2020-12-16T17:02:00
Vöcklabruck;5993;4398,4352638107;417;2020-12-16T17:02:00
Voitsberg;1796;3510,48650339126;616;2020-12-16T17:02:00
Völkermarkt;2071;4945,31735039878;208;2020-12-16T17:02:00
Waidhofen an der Thaya;781;3016,84177997528;322;2020-12-16T17:02:00
