Bezirk;Anzahl;Anzahl_Inzidenz;GKZ;Timestamp
Amstetten;577;496,92543534802;305;2020-10-20T20:02:00
Baden;932;637,469819360752;306;2020-10-20T20:02:00
Bludenz;597;936,999717487522;801;2020-10-20T20:02:00
Braunau am Inn;482;461,650448241514;404;2020-10-20T20:02:00
Bregenz;986;733,723759701748;802;2020-10-20T20:02:00
Bruck an der Leitha;699;685,226938535438;307;2020-10-20T20:02:00
Bruck-Mürzzuschlag;271;273,781621272125;621;2020-10-20T20:02:00
Deutschlandsberg;150;246,625343220269;603;2020-10-20T20:02:00
Dornbirn;735;825,462427421076;803;2020-10-20T20:02:00
Eferding;192;579,080709373869;405;2020-10-20T20:02:00
Eisenstadt(Stadt);55;375,76006012161;101;2020-10-20T20:02:00
Eisenstadt-Umgebung;186;433,293731218114;103;2020-10-20T20:02:00
Feldkirch;901;840,806651797796;804;2020-10-20T20:02:00
Feldkirchen;53;177,03844740622;210;2020-10-20T20:02:00
Freistadt;412;618,423620179823;406;2020-10-20T20:02:00
Gänserndorf;661;637,50168778813;308;2020-10-20T20:02:00
Gmünd;191;519,402822723194;309;2020-10-20T20:02:00
Gmunden;564;554,948785311568;407;2020-10-20T20:02:00
Graz(Stadt);1717;594,516734416875;601;2020-10-20T20:02:00
Graz-Umgebung;645;418,125243096072;606;2020-10-20T20:02:00
Grieskirchen;418;645,849106163378;408;2020-10-20T20:02:00
Güssing;116;449,6646896926;104;2020-10-20T20:02:00
Hallein;743;1230,66220558519;502;2020-10-20T20:02:00
Hartberg-Fürstenfeld;501;552,845887312132;622;2020-10-20T20:02:00
Hermagor;67;367,647058823529;203;2020-10-20T20:02:00
Hollabrunn;145;285,107554367061;310;2020-10-20T20:02:00
Horn;138;443,872627854616;311;2020-10-20T20:02:00
Imst;641;1067,33715199147;702;2020-10-20T20:02:00
Innsbruck-Land;1664;927,960383229793;703;2020-10-20T20:02:00
Innsbruck-Stadt;1997;1511,61910529105;701;2020-10-20T20:02:00
Jennersdorf;32;187,507324504863;105;2020-10-20T20:02:00
Kirchdorf an der Krems;196;344,669925790455;409;2020-10-20T20:02:00
Kitzbühel;535;837,494716738936;704;2020-10-20T20:02:00
Klagenfurt Land;151;252,508361204013;204;2020-10-20T20:02:00
Klagenfurt Stadt;372;368,985389368856;201;2020-10-20T20:02:00
Korneuburg;641;705,255861545402;312;2020-10-20T20:02:00
Krems an der Donau(Stadt);178;715,54912365332;301;2020-10-20T20:02:00
Krems(Land);413;729,73355007421;313;2020-10-20T20:02:00
Kufstein;1151;1049,39734869897;705;2020-10-20T20:02:00
Landeck;1332;3002,56976691763;706;2020-10-20T20:02:00
Leibnitz;367;444,934775229135;610;2020-10-20T20:02:00
Leoben;226;376,290376290376;611;2020-10-20T20:02:00
Lienz;236;484,072775008717;707;2020-10-20T20:02:00
Liezen (inkl. Gröbming);295;369,206893530744;612;2020-10-20T20:02:00
Lilienfeld;147;569,502556950256;314;2020-10-20T20:02:00
Linz(Stadt);1827;888,07442909501;401;2020-10-20T20:02:00
Linz-Land;1170;778,58297897826;410;2020-10-20T20:02:00
Mattersburg;181;453,350031308704;106;2020-10-20T20:02:00
Melk;463;593,879069290167;315;2020-10-20T20:02:00
Mistelbach;442;585,562312043772;316;2020-10-20T20:02:00
Mödling;878;737,827526513051;317;2020-10-20T20:02:00
Murau;45;162,695686756571;614;2020-10-20T20:02:00
Murtal;232;322,204321982112;620;2020-10-20T20:02:00
Neunkirchen;610;706,91033827398;318;2020-10-20T20:02:00
Neusiedl am See;386;648,173025255239;107;2020-10-20T20:02:00
Oberpullendorf;132;351,878015621251;108;2020-10-20T20:02:00
Oberwart;335;619,498483615652;109;2020-10-20T20:02:00
Perg;510;744,971442761361;411;2020-10-20T20:02:00
Reutte;157;480,563207835935;708;2020-10-20T20:02:00
Ried im Innkreis;506;826,743350107836;412;2020-10-20T20:02:00
Rohrbach;404;714,740641143585;413;2020-10-20T20:02:00
Rust(Stadt);3;154,639175257732;102;2020-10-20T20:02:00
Salzburg(Stadt);844;547,302073133564;501;2020-10-20T20:02:00
Salzburg-Umgebung;995;653,397337816274;503;2020-10-20T20:02:00
Sankt Johann im Pongau;931;1155,47391806188;504;2020-10-20T20:02:00
Sankt Pölten(Land);815;621,928512560667;319;2020-10-20T20:02:00
Sankt Pölten(Stadt);420;763,025942882058;302;2020-10-20T20:02:00
Sankt Veit an der Glan;184;337,274310329026;205;2020-10-20T20:02:00
Schärding;351;612,490620692062;414;2020-10-20T20:02:00
Scheibbs;193;466,149795908509;320;2020-10-20T20:02:00
Schwaz;1084;1292,43022188309;709;2020-10-20T20:02:00
Spittal an der Drau;111;145,877961914024;206;2020-10-20T20:02:00
Steyr(Stadt);247;646,715366690231;402;2020-10-20T20:02:00
Steyr-Land;388;642,097075810482;415;2020-10-20T20:02:00
Südoststeiermark;159;184,997731159901;623;2020-10-20T20:02:00
Tamsweg;86;423,228346456693;505;2020-10-20T20:02:00
Tulln;604;582,050861994199;321;2020-10-20T20:02:00
Urfahr-Umgebung;593;693,52669434536;416;2020-10-20T20:02:00
Villach Land;164;253,603018494464;207;2020-10-20T20:02:00
Villach Stadt;162;260,270231190656;202;2020-10-20T20:02:00
Vöcklabruck;853;626,041261476812;417;2020-10-20T20:02:00
