Bezirk;Anzahl;Anzahl_Inzidenz;GKZ;Timestamp
Amstetten;6988;6018,22347003807;305;2021-01-27T12:02:00
Baden;5293;3620,30874879448;306;2021-01-27T12:02:00
Bludenz;3088;4846,65850519509;801;2021-01-27T12:02:00
Braunau am Inn;4882;4675,88690521799;404;2021-01-27T12:02:00
Bregenz;6726;5005,09737094722;802;2021-01-27T12:02:00
Bruck an der Leitha;3213;3149,69120674444;307;2021-01-27T12:02:00
Bruck-Mürzzuschlag;3992;4032,97502626687;621;2021-01-27T12:02:00
Deutschlandsberg;2221;3651,69924861479;603;2021-01-27T12:02:00
Dornbirn;5480;6154,46816635033;803;2021-01-27T12:02:00
Eferding;2127;6415,12848353239;405;2021-01-27T12:02:00
Eisenstadt(Stadt);548;3743,93659902986;101;2021-01-27T12:02:00
Eisenstadt-Umgebung;1382;3219,41901367438;103;2021-01-27T12:02:00
Feldkirch;5829;5439,58043654756;804;2021-01-27T12:02:00
Feldkirchen;1486;4963,75722350269;210;2021-01-27T12:02:00
Freistadt;3812;5721,91951486768;406;2021-01-27T12:02:00
Gänserndorf;2888;2785,33263892907;308;2021-01-27T12:02:00
Gmünd;1680;4568,56933075898;309;2021-01-27T12:02:00
Gmunden;5281;5196,24917594041;407;2021-01-27T12:02:00
Graz(Stadt);10248;3548,40273401522;601;2021-01-27T12:02:00
Graz-Umgebung;5225;3387,1385971736;606;2021-01-27T12:02:00
Grieskirchen;4035;6234,45249609864;408;2021-01-27T12:02:00
Güssing;1129;4376,47788502539;104;2021-01-27T12:02:00
Hallein;4606;7629,11186934773;502;2021-01-27T12:02:00
Hartberg-Fürstenfeld;4047;4465,80300589261;622;2021-01-27T12:02:00
Hermagor;1067;5854,91659350307;203;2021-01-27T12:02:00
Hollabrunn;1282;2520,74403240395;310;2021-01-27T12:02:00
Horn;691;2222,57960759087;311;2021-01-27T12:02:00
Imst;3183;5300,05328360197;702;2021-01-27T12:02:00
Innsbruck-Land;9700;5409,38444551021;703;2021-01-27T12:02:00
Innsbruck-Stadt;6783;5134,35773219287;701;2021-01-27T12:02:00
Jennersdorf;707;4142,73995077933;105;2021-01-27T12:02:00
Kirchdorf an der Krems;2661;4679,42179861429;409;2021-01-27T12:02:00
Kitzbühel;3098;4849,64230365836;704;2021-01-27T12:02:00
Klagenfurt Land;2557;4275,91973244147;204;2021-01-27T12:02:00
Klagenfurt Stadt;4275;4240,35628911791;201;2021-01-27T12:02:00
Korneuburg;2567;2824,32417564282;312;2021-01-27T12:02:00
Krems an der Donau(Stadt);945;3798,84225759768;301;2021-01-27T12:02:00
Krems(Land);2176;3844,79468513676;313;2021-01-27T12:02:00
Kufstein;6743;6147,77265184807;705;2021-01-27T12:02:00
Landeck;2837;6395,11293449349;706;2021-01-27T12:02:00
Leibnitz;3408;4131,71039231851;610;2021-01-27T12:02:00
Leoben;2215;3687,97868797869;611;2021-01-27T12:02:00
Lienz;3002;6157,56979057699;707;2021-01-27T12:02:00
Liezen (inkl. Gröbming);3571;4469,28073490945;612;2021-01-27T12:02:00
Lilienfeld;1045;4048,50457151712;314;2021-01-27T12:02:00
Linz(Stadt);9163;4453,98248155313;401;2021-01-27T12:02:00
Linz-Land;6895;4588,31593167103;410;2021-01-27T12:02:00
Mattersburg;1338;3351,28365685661;106;2021-01-27T12:02:00
Melk;3440;4412,40604397014;315;2021-01-27T12:02:00
Mistelbach;1814;2403,19012227919;316;2021-01-27T12:02:00
Mödling;3797;3190,80992957865;317;2021-01-27T12:02:00
Murau;1119;4045,69941068007;614;2021-01-27T12:02:00
Murtal;3168;4399,75556913505;620;2021-01-27T12:02:00
Neunkirchen;3254;3770,96105039923;318;2021-01-27T12:02:00
Neusiedl am See;1923;3229,11069317571;107;2021-01-27T12:02:00
Oberpullendorf;1477;3937,3017353984;108;2021-01-27T12:02:00
Oberwart;1997;3692,95066203122;109;2021-01-27T12:02:00
Perg;3864;5644,25422515666;411;2021-01-27T12:02:00
Reutte;1148;3513,92715029079;708;2021-01-27T12:02:00
Ried im Innkreis;3957;6465,26370825436;412;2021-01-27T12:02:00
Rohrbach;4004;7083,71665133395;413;2021-01-27T12:02:00
Rust(Stadt);67;3453,60824742268;102;2021-01-27T12:02:00
Salzburg(Stadt);7671;4974,35332109901;501;2021-01-27T12:02:00
Salzburg-Umgebung;8207;5389,37884568659;503;2021-01-27T12:02:00
Sankt Johann im Pongau;6141;7621,65986124384;504;2021-01-27T12:02:00
Sankt Pölten(Land);4654;3551,4788925857;319;2021-01-27T12:02:00
Sankt Pölten(Stadt);2410;4378,31552939467;302;2021-01-27T12:02:00
Sankt Veit an der Glan;2624;4809,82494730089;205;2021-01-27T12:02:00
Schärding;3883;6775,78655312615;414;2021-01-27T12:02:00
Scheibbs;2374;5733,88401806632;320;2021-01-27T12:02:00
Schwaz;7250;8644,02131794499;709;2021-01-27T12:02:00
Spittal an der Drau;2613;3434,04607640851;206;2021-01-27T12:02:00
Steyr(Stadt);1646;4309,69025737701;402;2021-01-27T12:02:00
Steyr-Land;3176;5255,92864117034;415;2021-01-27T12:02:00
Südoststeiermark;3524;4100,20128683956;623;2021-01-27T12:02:00
Tamsweg;1792;8818,89763779527;505;2021-01-27T12:02:00
Tulln;3466;3340,04683389386;321;2021-01-27T12:02:00
Urfahr-Umgebung;4834;5653,47055727735;416;2021-01-27T12:02:00
Villach Land;2448;3785,48895899054;207;2021-01-27T12:02:00
Villach Stadt;2176;3495,97545105474;202;2021-01-27T12:02:00
Vöcklabruck;7314;5367,9552009864;417;2021-01-27T12:02:00
Voitsberg;2099;4102,73450479858;616;2021-01-27T12:02:00
Völkermarkt;2454;5859,87869525765;208;2021-01-27T12:02:00
Waidhofen an der Thaya;935;3611,71199011125;322;2021-01-27T12:02:00
Waidhofen an der Ybbs(Stadt);612;5434,68608471716;303;2021-01-27T12:02:00
Weiz;2976;3294,11243815237;617;2021-01-27T12:02:00
Wels(Stadt);3324;5385,00170103844;403;2021-01-27T12:02:00
Wels-Land;3343;4573,56280953293;418;2021-01-27T12:02:00
Wien(Stadt);80479;4241,33764007313;900;2021-01-27T12:02:00
Wiener Neustadt(Land);2568;3292,68761780205;323;2021-01-27T12:02:00
Wiener Neustadt(Stadt);1931;4264,85853744727;304;2021-01-27T12:02:00
Wolfsberg;2417;4584,07616735576;209;2021-01-27T12:02:00
Zell am See;4999;5715,6250714596;506;2021-01-27T12:02:00
Zwettl;2106;4987,92098905784;325;2021-01-27T12:02:00
