Bezirk;Anzahl;Anzahl_Inzidenz;GKZ;Timestamp
Amstetten;301;259,228000068898;305;2020-05-22T17:00:00
Baden;157;107,384937381586;306;2020-05-22T17:00:00
Bludenz;256;401,795523746743;801;2020-05-22T17:00:00
Braunau am Inn;130;124,511531683396;404;2020-05-22T17:00:00
Bregenz;274;203,894837888721;802;2020-05-22T17:00:00
Bruck an der Leitha;105;102,931085187727;307;2020-05-22T17:00:00
Bruck-Mürzzuschlag;52;52,5337428271236;621;2020-05-22T17:00:00
Deutschlandsberg;49;80,564278785288;603;2020-05-22T17:00:00
Dornbirn;153;171,830954279489;803;2020-05-22T17:00:00
Eferding;53;159,850404150078;405;2020-05-22T17:00:00
Eisenstadt(Stadt);18;122,976019676163;101;2020-05-22T17:00:00
Eisenstadt-Umgebung;23;53,5793323549281;103;2020-05-22T17:00:00
Feldkirch;213;198,770051978835;804;2020-05-22T17:00:00
Feldkirchen;15;50,1052209640244;210;2020-05-22T17:00:00
Freistadt;120;180,123384518395;406;2020-05-22T17:00:00
Gänserndorf;99;95,4805856142584;308;2020-05-22T17:00:00
Gmünd;14;38,0714110896582;309;2020-05-22T17:00:00
Gmunden;73;71,8284775314619;407;2020-05-22T17:00:00
Graz(Stadt);466;161,353988490544;601;2020-05-22T17:00:00
Graz-Umgebung;246;159,471022948269;606;2020-05-22T17:00:00
Grieskirchen;74;114,336923100694;408;2020-05-22T17:00:00
Güssing;24;93,0340737295034;104;2020-05-22T17:00:00
Hallein;69;114,287607248153;502;2020-05-22T17:00:00
Hartberg-Fürstenfeld;318;350,908167994527;622;2020-05-22T17:00:00
Hermagor;5;27,4363476733977;203;2020-05-22T17:00:00
Hollabrunn;37;72,7515828384915;310;2020-05-22T17:00:00
Horn;58;186,55516243165;311;2020-05-22T17:00:00
Imst;293;487,877980551485;702;2020-05-22T17:00:00
Innsbruck-Land;388;216,375377820408;703;2020-05-22T17:00:00
Innsbruck-Stadt;410;310,347437741276;701;2020-05-22T17:00:00
Jennersdorf;10;58,5960389077698;105;2020-05-22T17:00:00
Kirchdorf an der Krems;43;75,6163612703549;409;2020-05-22T17:00:00
Kitzbühel;367;574,505721576056;704;2020-05-22T17:00:00
Klagenfurt Land;42;70,2341137123746;204;2020-05-22T17:00:00
Klagenfurt Stadt;91;90,2625549262525;201;2020-05-22T17:00:00
Korneuburg;172;189,24182244276;312;2020-05-22T17:00:00
Krems an der Donau(Stadt);41;164,817494774079;301;2020-05-22T17:00:00
Krems(Land);155;273,870944943106;313;2020-05-22T17:00:00
Kufstein;523;476,833026385369;705;2020-05-22T17:00:00
Landeck;992;2236,14805464136;706;2020-05-22T17:00:00
Leibnitz;184;223,073565782455;610;2020-05-22T17:00:00
Leoben;25;41,6250416250416;611;2020-05-22T17:00:00
Lienz;152;311,775685598835;707;2020-05-22T17:00:00
Liezen (inkl. Gröbming);89;111,387842455038;612;2020-05-22T17:00:00
Lilienfeld;46;178,211684487835;314;2020-05-22T17:00:00
Linz(Stadt);311;151,171947153009;401;2020-05-22T17:00:00
