time;Todesfälle;Timestamp
26.02.2020;0;2020-05-15T13:00:00
27.02.2020;0;2020-05-15T13:00:00
28.02.2020;0;2020-05-15T13:00:00
29.02.2020;0;2020-05-15T13:00:00
01.03.2020;0;2020-05-15T13:00:00
02.03.2020;0;2020-05-15T13:00:00
03.03.2020;0;2020-05-15T13:00:00
04.03.2020;0;2020-05-15T13:00:00
05.03.2020;0;2020-05-15T13:00:00
06.03.2020;0;2020-05-15T13:00:00
07.03.2020;0;2020-05-15T13:00:00
08.03.2020;0;2020-05-15T13:00:00
09.03.2020;0;2020-05-15T13:00:00
10.03.2020;0;2020-05-15T13:00:00
11.03.2020;0;2020-05-15T13:00:00
12.03.2020;1;2020-05-15T13:00:00
13.03.2020;1;2020-05-15T13:00:00
14.03.2020;1;2020-05-15T13:00:00
15.03.2020;3;2020-05-15T13:00:00
16.03.2020;5;2020-05-15T13:00:00
17.03.2020;7;2020-05-15T13:00:00
18.03.2020;11;2020-05-15T13:00:00
19.03.2020;14;2020-05-15T13:00:00
20.03.2020;19;2020-05-15T13:00:00
21.03.2020;22;2020-05-15T13:00:00
22.03.2020;30;2020-05-15T13:00:00
23.03.2020;40;2020-05-15T13:00:00
24.03.2020;50;2020-05-15T13:00:00
25.03.2020;59;2020-05-15T13:00:00
26.03.2020;72;2020-05-15T13:00:00
27.03.2020;89;2020-05-15T13:00:00
28.03.2020;106;2020-05-15T13:00:00
29.03.2020;120;2020-05-15T13:00:00
30.03.2020;139;2020-05-15T13:00:00
31.03.2020;156;2020-05-15T13:00:00
01.04.2020;167;2020-05-15T13:00:00
02.04.2020;186;2020-05-15T13:00:00
03.04.2020;203;2020-05-15T13:00:00
04.04.2020;223;2020-05-15T13:00:00
05.04.2020;244;2020-05-15T13:00:00
06.04.2020;268;2020-05-15T13:00:00
07.04.2020;294;2020-05-15T13:00:00
08.04.2020;312;2020-05-15T13:00:00
09.04.2020;330;2020-05-15T13:00:00
10.04.2020;349;2020-05-15T13:00:00
11.04.2020;363;2020-05-15T13:00:00
12.04.2020;374;2020-05-15T13:00:00
13.04.2020;395;2020-05-15T13:00:00
14.04.2020;407;2020-05-15T13:00:00
15.04.2020;421;2020-05-15T13:00:00
16.04.2020;443;2020-05-15T13:00:00
17.04.2020;456;2020-05-15T13:00:00
18.04.2020;471;2020-05-15T13:00:00
19.04.2020;486;2020-05-15T13:00:00
20.04.2020;493;2020-05-15T13:00:00
21.04.2020;508;2020-05-15T13:00:00
22.04.2020;518;2020-05-15T13:00:00
23.04.2020;521;2020-05-15T13:00:00
24.04.2020;525;2020-05-15T13:00:00
25.04.2020;535;2020-05-15T13:00:00
26.04.2020;544;2020-05-15T13:00:00
27.04.2020;547;2020-05-15T13:00:00
28.04.2020;558;2020-05-15T13:00:00
29.04.2020;561;2020-05-15T13:00:00
30.04.2020;566;2020-05-15T13:00:00
01.05.2020;568;2020-05-15T13:00:00
02.05.2020;570;2020-05-15T13:00:00
03.05.2020;574;2020-05-15T13:00:00
04.05.2020;576;2020-05-15T13:00:00
05.05.2020;578;2020-05-15T13:00:00
06.05.2020;581;2020-05-15T13:00:00
07.05.2020;582;2020-05-15T13:00:00
08.05.2020;587;2020-05-15T13:00:00
09.05.2020;589;2020-05-15T13:00:00
10.05.2020;591;2020-05-15T13:00:00
11.05.2020;592;2020-05-15T13:00:00
12.05.2020;592;2020-05-15T13:00:00
13.05.2020;593;2020-05-15T13:00:00
14.05.2020;595;2020-05-15T13:00:00
15.05.2020;595;2020-05-15T13:00:00
