time;Belegung Intensivbetten in %;Timestamp
01.04.2020;21;2020-09-26T10:30:01
02.04.2020;23;2020-09-26T10:30:01
03.04.2020;26;2020-09-26T10:30:01
04.04.2020;25;2020-09-26T10:30:01
05.04.2020;24;2020-09-26T10:30:01
06.04.2020;24;2020-09-26T10:30:01
07.04.2020;21;2020-09-26T10:30:01
08.04.2020;21;2020-09-26T10:30:01
09.04.2020;21;2020-09-26T10:30:01
10.04.2020;21;2020-09-26T10:30:01
11.04.2020;22;2020-09-26T10:30:01
12.04.2020;22;2020-09-26T10:30:01
13.04.2020;19;2020-09-26T10:30:01
14.04.2020;20;2020-09-26T10:30:01
15.04.2020;20;2020-09-26T10:30:01
16.04.2020;21;2020-09-26T10:30:01
17.04.2020;19;2020-09-26T10:30:01
18.04.2020;18;2020-09-26T10:30:01
19.04.2020;16;2020-09-26T10:30:01
20.04.2020;17;2020-09-26T10:30:01
21.04.2020;17;2020-09-26T10:30:01
22.04.2020;14;2020-09-26T10:30:01
23.04.2020;15;2020-09-26T10:30:01
24.04.2020;13;2020-09-26T10:30:01
25.04.2020;12;2020-09-26T10:30:01
26.04.2020;12;2020-09-26T10:30:01
27.04.2020;12;2020-09-26T10:30:01
28.04.2020;11;2020-09-26T10:30:01
29.04.2020;11;2020-09-26T10:30:01
30.04.2020;11;2020-09-26T10:30:01
01.05.2020;11;2020-09-26T10:30:01
02.05.2020;10;2020-09-26T10:30:01
03.05.2020;10;2020-09-26T10:30:01
04.05.2020;10;2020-09-26T10:30:01
05.05.2020;9;2020-09-26T10:30:01
06.05.2020;9;2020-09-26T10:30:01
07.05.2020;8;2020-09-26T10:30:01
08.05.2020;8;2020-09-26T10:30:01
09.05.2020;7;2020-09-26T10:30:01
10.05.2020;7;2020-09-26T10:30:01
11.05.2020;6;2020-09-26T10:30:01
12.05.2020;5;2020-09-26T10:30:01
13.05.2020;5;2020-09-26T10:30:01
14.05.2020;5;2020-09-26T10:30:01
15.05.2020;5;2020-09-26T10:30:01
16.05.2020;6;2020-09-26T10:30:01
17.05.2020;5;2020-09-26T10:30:01
18.05.2020;5;2020-09-26T10:30:01
19.05.2020;4;2020-09-26T10:30:01
20.05.2020;4;2020-09-26T10:30:01
21.05.2020;4;2020-09-26T10:30:01
22.05.2020;3;2020-09-26T10:30:01
23.05.2020;3;2020-09-26T10:30:01
24.05.2020;3;2020-09-26T10:30:01
25.05.2020;3;2020-09-26T10:30:01
26.05.2020;3;2020-09-26T10:30:01
27.05.2020;4;2020-09-26T10:30:01
28.05.2020;3;2020-09-26T10:30:01
29.05.2020;3;2020-09-26T10:30:01
30.05.2020;3;2020-09-26T10:30:01
31.05.2020;3;2020-09-26T10:30:01
01.06.2020;3;2020-09-26T10:30:01
02.06.2020;3;2020-09-26T10:30:01
03.06.2020;2;2020-09-26T10:30:01
04.06.2020;3;2020-09-26T10:30:01
05.06.2020;2;2020-09-26T10:30:01
06.06.2020;2;2020-09-26T10:30:01
07.06.2020;2;2020-09-26T10:30:01
08.06.2020;2;2020-09-26T10:30:01
09.06.2020;2;2020-09-26T10:30:01
10.06.2020;2;2020-09-26T10:30:01
11.06.2020;2;2020-09-26T10:30:01
12.06.2020;1;2020-09-26T10:30:01
13.06.2020;1;2020-09-26T10:30:01
14.06.2020;1;2020-09-26T10:30:01
15.06.2020;2;2020-09-26T10:30:01
16.06.2020;1;2020-09-26T10:30:01
17.06.2020;1;2020-09-26T10:30:01
18.06.2020;1;2020-09-26T10:30:01
19.06.2020;1;2020-09-26T10:30:01
20.06.2020;1;2020-09-26T10:30:01
21.06.2020;1;2020-09-26T10:30:01
22.06.2020;1;2020-09-26T10:30:01
23.06.2020;1;2020-09-26T10:30:01
24.06.2020;1;2020-09-26T10:30:01
25.06.2020;1;2020-09-26T10:30:01
26.06.2020;1;2020-09-26T10:30:01
27.06.2020;1;2020-09-26T10:30:01
28.06.2020;1;2020-09-26T10:30:01
29.06.2020;1;2020-09-26T10:30:01
30.06.2020;1;2020-09-26T10:30:01
01.07.2020;1;2020-09-26T10:30:01
02.07.2020;1;2020-09-26T10:30:01
03.07.2020;1;2020-09-26T10:30:01
04.07.2020;1;2020-09-26T10:30:01
05.07.2020;1;2020-09-26T10:30:01
06.07.2020;1;2020-09-26T10:30:01
07.07.2020;1;2020-09-26T10:30:01
08.07.2020;2;2020-09-26T10:30:01
09.07.2020;2;2020-09-26T10:30:01
10.07.2020;1;2020-09-26T10:30:01
11.07.2020;1;2020-09-26T10:30:01
12.07.2020;1;2020-09-26T10:30:01
13.07.2020;1;2020-09-26T10:30:01
14.07.2020;1;2020-09-26T10:30:01
15.07.2020;1;2020-09-26T10:30:01
16.07.2020;2;2020-09-26T10:30:01
17.07.2020;1;2020-09-26T10:30:01
18.07.2020;1;2020-09-26T10:30:01
19.07.2020;2;2020-09-26T10:30:01
20.07.2020;2;2020-09-26T10:30:01
21.07.2020;2;2020-09-26T10:30:01
22.07.2020;2;2020-09-26T10:30:01
23.07.2020;2;2020-09-26T10:30:01
24.07.2020;2;2020-09-26T10:30:01
25.07.2020;2;2020-09-26T10:30:01
26.07.2020;2;2020-09-26T10:30:01
27.07.2020;2;2020-09-26T10:30:01
28.07.2020;2;2020-09-26T10:30:01
29.07.2020;3;2020-09-26T10:30:01
30.07.2020;2;2020-09-26T10:30:01
31.07.2020;2;2020-09-26T10:30:01
01.08.2020;2;2020-09-26T10:30:01
02.08.2020;3;2020-09-26T10:30:01
03.08.2020;3;2020-09-26T10:30:01
04.08.2020;3;2020-09-26T10:30:01
05.08.2020;3;2020-09-26T10:30:01
06.08.2020;3;2020-09-26T10:30:01
07.08.2020;3;2020-09-26T10:30:01
08.08.2020;3;2020-09-26T10:30:01
09.08.2020;3;2020-09-26T10:30:01
10.08.2020;3;2020-09-26T10:30:01
11.08.2020;3;2020-09-26T10:30:01
12.08.2020;3;2020-09-26T10:30:01
13.08.2020;3;2020-09-26T10:30:01
14.08.2020;2;2020-09-26T10:30:01
15.08.2020;3;2020-09-26T10:30:01
16.08.2020;2;2020-09-26T10:30:01
17.08.2020;3;2020-09-26T10:30:01
18.08.2020;2;2020-09-26T10:30:01
19.08.2020;3;2020-09-26T10:30:01
20.08.2020;3;2020-09-26T10:30:01
21.08.2020;3;2020-09-26T10:30:01
22.08.2020;3;2020-09-26T10:30:01
23.08.2020;3;2020-09-26T10:30:01
24.08.2020;3;2020-09-26T10:30:01
25.08.2020;3;2020-09-26T10:30:01
26.08.2020;3;2020-09-26T10:30:01
27.08.2020;3;2020-09-26T10:30:01
28.08.2020;4;2020-09-26T10:30:01
29.08.2020;4;2020-09-26T10:30:01
30.08.2020;4;2020-09-26T10:30:01
31.08.2020;4;2020-09-26T10:30:01
01.09.2020;4;2020-09-26T10:30:01
02.09.2020;4;2020-09-26T10:30:01
03.09.2020;4;2020-09-26T10:30:01
04.09.2020;4;2020-09-26T10:30:01
05.09.2020;4;2020-09-26T10:30:01
06.09.2020;4;2020-09-26T10:30:01
07.09.2020;4;2020-09-26T10:30:01
08.09.2020;4;2020-09-26T10:30:01
09.09.2020;5;2020-09-26T10:30:01
10.09.2020;5;2020-09-26T10:30:01
11.09.2020;6;2020-09-26T10:30:01
12.09.2020;6;2020-09-26T10:30:01
13.09.2020;6;2020-09-26T10:30:01
14.09.2020;6;2020-09-26T10:30:01
15.09.2020;6;2020-09-26T10:30:01
16.09.2020;8;2020-09-26T10:30:01
17.09.2020;7;2020-09-26T10:30:01
18.09.2020;8;2020-09-26T10:30:01
19.09.2020;11;2020-09-26T10:30:01
20.09.2020;9;2020-09-26T10:30:01
21.09.2020;9;2020-09-26T10:30:01
22.09.2020;10;2020-09-26T10:30:01
23.09.2020;11;2020-09-26T10:30:01
24.09.2020;11;2020-09-26T10:30:01
25.09.2020;11;2020-09-26T10:30:01
26.09.2020;11;2020-09-26T10:30:01
